Time	Open	High	Low	Close	Volume	Spread
2009-06-01 00:00:00	0.80986	0.81531	0.80598	0.81109	29768	21
2009-06-02 00:00:00	0.81114	0.82466	0.80499	0.82436	88225	19
2009-06-03 00:00:00	0.82434	0.82632	0.79316	0.80036	84821	17
2009-06-04 00:00:00	0.80031	0.80901	0.78758	0.80356	75172	17
2009-06-05 00:00:00	0.80366	0.81231	0.79166	0.79317	55825	17
2009-06-07 00:00:00	0.7974	0.79822	0.79658	0.79739	2360	23
2009-06-08 00:00:00	0.79736	0.79852	0.78269	0.78756	68033	19
2009-06-09 00:00:00	0.78761	0.80504	0.78517	0.80464	68083	16
2009-06-10 00:00:00	0.80469	0.81346	0.79674	0.80886	70264	16
2009-06-11 00:00:00	0.80881	0.82376	0.80716	0.81431	67228	16
2009-06-12 00:00:00	0.81426	0.81716	0.80576	0.81326	60303	16
2009-06-14 00:00:00	0.80761	0.80924	0.80673	0.80775	1735	19
2009-06-15 00:00:00	0.80773	0.80846	0.78597	0.79001	63774	26
2009-06-16 00:00:00	0.79005	0.80681	0.78746	0.79218	72186	21
2009-06-17 00:00:00	0.79223	0.79966	0.78494	0.79571	76964	17
2009-06-18 00:00:00	0.79576	0.80536	0.79111	0.80046	59223	18
2009-06-19 00:00:00	0.80059	0.81179	0.80051	0.8054	42880	18
2009-06-21 00:00:00	0.80016	0.80191	0.79928	0.80061	2518	18
2009-06-22 00:00:00	0.80056	0.80266	0.78086	0.78421	65096	17
2009-06-23 00:00:00	0.78425	0.79786	0.77886	0.79551	73684	17
2009-06-24 00:00:00	0.79546	0.80546	0.79281	0.79971	67115	18
2009-06-25 00:00:00	0.79968	0.80435	0.79315	0.80412	114699	18
2009-06-26 00:00:00	0.80451	0.8087	0.80299	0.80723	86324	15
2009-06-28 00:00:00	0.80654	0.80772	0.80516	0.80695	2347	16
2009-06-29 00:00:00	0.80695	0.8113	0.79835	0.8097	87846	16
2009-06-30 00:00:00	0.8098	0.8155	0.80385	0.8067	106480	13
2009-07-01 00:00:00	0.80678	0.81076	0.80228	0.80526	61921	21
2009-07-02 00:00:00	0.80521	0.80537	0.78994	0.79606	63697	17
2009-07-03 00:00:00	0.79611	0.80066	0.79476	0.79747	25260	18
2009-07-05 00:00:00	0.79324	0.79409	0.79123	0.79371	1805	17
2009-07-06 00:00:00	0.79366	0.79801	0.78786	0.79721	50950	17
2009-07-07 00:00:00	0.79719	0.80376	0.78524	0.78561	60897	17
2009-07-08 00:00:00	0.78564	0.78906	0.77226	0.78078	67975	14
2009-07-09 00:00:00	0.78064	0.78611	0.77781	0.78161	52034	17
2009-07-10 00:00:00	0.78157	0.78331	0.77386	0.7784	61455	17
2009-07-12 00:00:00	0.77946	0.77966	0.77661	0.77714	3538	17
2009-07-13 00:00:00	0.77715	0.78556	0.77006	0.78499	65967	16
2009-07-14 00:00:00	0.78494	0.79483	0.78416	0.79403	63494	17
2009-07-15 00:00:00	0.79398	0.80569	0.79304	0.79884	61609	17
2009-07-16 00:00:00	0.79879	0.80716	0.79596	0.79993	55024	15
2009-07-17 00:00:00	0.79986	0.80356	0.79696	0.80161	48347	17
2009-07-19 00:00:00	0.80611	0.80836	0.80576	0.80621	2695	17
2009-07-20 00:00:00	0.80616	0.81798	0.80581	0.81301	49712	18
2009-07-21 00:00:00	0.81306	0.81926	0.80888	0.81591	54409	15
2009-07-22 00:00:00	0.81601	0.82136	0.80986	0.81826	53896	17
2009-07-23 00:00:00	0.81831	0.82226	0.81076	0.81381	48898	15
2009-07-24 00:00:00	0.81386	0.81886	0.81316	0.81671	40650	17
2009-07-26 00:00:00	0.81831	0.82106	0.81746	0.82076	2027	17
2009-07-27 00:00:00	0.82071	0.82589	0.81798	0.82473	49210	18
2009-07-28 00:00:00	0.82483	0.83374	0.82226	0.82413	59364	14
2009-07-29 00:00:00	0.82408	0.82658	0.81251	0.81756	62191	16
2009-07-30 00:00:00	0.81761	0.82886	0.81706	0.82851	53099	16
2009-07-31 00:00:00	0.82847	0.83654	0.82401	0.83629	46478	14
2009-08-02 00:00:00	0.83646	0.83808	0.83566	0.83711	2211	26
2009-08-03 00:00:00	0.83716	0.84701	0.83498	0.84441	56420	18
2009-08-04 00:00:00	0.84436	0.84641	0.83846	0.84406	65141	16
2009-08-05 00:00:00	0.84402	0.84596	0.83609	0.84171	58812	16
2009-08-06 00:00:00	0.84166	0.84557	0.83651	0.83771	49381	16
2009-08-07 00:00:00	0.83766	0.84421	0.83446	0.83551	50537	18
2009-08-09 00:00:00	0.83894	0.84036	0.83814	0.83928	1328	15
2009-08-10 00:00:00	0.83931	0.84296	0.83196	0.83406	46692	14
2009-08-11 00:00:00	0.83411	0.83888	0.82406	0.82466	50729	13
2009-08-12 00:00:00	0.82469	0.83701	0.81796	0.83523	60954	16
2009-08-13 00:00:00	0.83527	0.84775	0.83509	0.84211	51395	16
2009-08-14 00:00:00	0.84219	0.84434	0.82746	0.83012	49122	13
2009-08-16 00:00:00	0.82373	0.82551	0.82226	0.82281	2827	16
2009-08-17 00:00:00	0.82286	0.82637	0.81556	0.82358	68077	15
2009-08-18 00:00:00	0.82363	0.83053	0.81956	0.82771	67481	16
